# max-cut SDP  problem=/n/home08/haoransun/spectra_deflation/defadmm/data/G60mc.sdp n=7000 m=7000 F0_nnz=24105  mode=deflated16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.427447e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
   300  1.4015e-03  4.1437e-03  4.4320e-03  4.4320e-03  -3.00144372e+04  -2.97495585e+04     42.56     13.454  0  0.000e+00  0.000e+00
   325  1.4155e-03  3.9875e-03  4.1975e-03  4.1975e-03  -3.00283406e+04  -2.97773029e+04     43.18     14.543  0  0.000e+00  0.000e+00
   350  1.4201e-03  3.8307e-03  4.0471e-03  4.0471e-03  -3.00481301e+04  -2.98058888e+04     44.05     15.628  0  0.000e+00  0.000e+00
   375  1.4631e-03  3.7240e-03  3.9367e-03  3.9367e-03  -3.00612755e+04  -2.98255166e+04     43.14     16.719  0  0.000e+00  0.000e+00
# track it=400 fired=0 fired_exact=0 k_ritz=186 k_ritz_pos=0 k_ritz_neg=186 k_exact=186 k_exact_pos=0 k_exact_neg=186 pairs=186 eig_err=8.769e-07 s1_ritz=8.065955e+01 s1_exact=8.065959e+01 ckpt_ms=356.6
   400  1.4876e-03  3.6183e-03  3.7398e-03  3.7398e-03  -3.00733282e+04  -2.98492255e+04     42.52     17.803  0  0.000e+00  0.000e+00
   425  1.5250e-03  3.5295e-03  3.7029e-03  3.7029e-03  -3.00888360e+04  -2.98668214e+04     42.80     18.889  0  0.000e+00  0.000e+00
   450  1.1224e-03  2.7894e-03  3.5988e-03  3.5988e-03  -3.00985330e+04  -2.98826684e+04     44.64     19.987  173  0.000e+00  0.000e+00
   475  7.4889e-04  2.6898e-03  3.5489e-03  3.5489e-03  -3.01092078e+04  -2.98962520e+04     45.75     21.122  168  0.000e+00  0.000e+00
# gate it=500 k=350 kw=175 s1=9.134e+01 s_kw/s1=6.431e-02 fired=1 clipped_neg=163 clipped_pos=0 fired_frac_last250=0.232
# track it=500 fired=1 fired_exact=1 k_ritz=163 k_ritz_pos=0 k_ritz_neg=163 k_exact=163 k_exact_pos=0 k_exact_neg=163 pairs=163 eig_err=2.978e-07 s1_ritz=9.133678e+01 s1_exact=9.133678e+01 ckpt_ms=356.8
# deflate it=500 alpha=1.322e+01 theta=9.134e+00 clipped_neg=163 clipped_pos=0
   500  6.5622e-04  2.5875e-03  3.5016e-03  3.5016e-03  -3.01207405e+04  -2.99105327e+04     44.10     22.255  163  0.000e+00  0.000e+00
   525  6.3362e-04  2.4965e-03  3.3959e-03  3.3959e-03  -3.01292882e+04  -2.99253456e+04     44.93     23.385  159  0.000e+00  0.000e+00
   550  6.4793e-04  2.4013e-03  3.3336e-03  3.3336e-03  -3.01383490e+04  -2.99380736e+04     44.93     24.520  156  0.000e+00  0.000e+00
   575  6.2448e-04  2.3261e-03  3.1770e-03  3.1770e-03  -3.01449520e+04  -2.99540154e+04     45.64     25.652  151  0.000e+00  0.000e+00
# track it=600 fired=1 fired_exact=1 k_ritz=148 k_ritz_pos=0 k_ritz_neg=148 k_exact=148 k_exact_pos=0 k_exact_neg=148 pairs=148 eig_err=2.163e-07 s1_ritz=1.009767e+02 s1_exact=1.009767e+02 ckpt_ms=357.1
   600  6.4807e-04  2.2611e-03  3.1070e-03  3.1070e-03  -3.01525505e+04  -2.99657607e+04     44.32     26.783  148  0.000e+00  0.000e+00
   625  6.3245e-04  2.2083e-03  3.1740e-03  3.1740e-03  -3.01609805e+04  -2.99701214e+04     45.08     27.909  144  0.000e+00  0.000e+00
   650  6.3032e-04  2.1589e-03  3.0207e-03  3.0207e-03  -3.01660371e+04  -2.99843398e+04     46.52     29.042  141  0.000e+00  0.000e+00
   675  6.2980e-04  2.0840e-03  3.0290e-03  3.0290e-03  -3.01746936e+04  -2.99924472e+04     45.17     30.173  139  0.000e+00  0.000e+00
# track it=700 fired=1 fired_exact=1 k_ritz=135 k_ritz_pos=0 k_ritz_neg=135 k_exact=135 k_exact_pos=0 k_exact_neg=135 pairs=135 eig_err=1.191e-07 s1_ritz=1.099177e+02 s1_exact=1.099177e+02 ckpt_ms=356.2
   700  6.2680e-04  2.0478e-03  2.9355e-03  2.9355e-03  -3.01779328e+04  -3.00012714e+04     44.13     31.306  135  0.000e+00  0.000e+00
   725  6.3215e-04  2.0041e-03  2.8890e-03  2.8890e-03  -3.01855695e+04  -3.00116582e+04     45.24     32.432  132  0.000e+00  0.000e+00
# gate it=750 k=350 kw=175 s1=1.142e+02 s_kw/s1=4.533e-02 fired=1 clipped_neg=129 clipped_pos=0 fired_frac_last250=1.000
# deflate it=750 alpha=1.607e+01 theta=1.142e+01 clipped_neg=129 clipped_pos=0
   750  6.4910e-04  1.9486e-03  2.9393e-03  2.9393e-03  -3.01930630e+04  -3.00160844e+04     44.63     33.565  129  0.000e+00  0.000e+00
   775  6.3883e-04  1.8948e-03  2.7949e-03  2.7949e-03  -3.01938241e+04  -3.00255148e+04     45.98     34.702  127  0.000e+00  0.000e+00
# track it=800 fired=1 fired_exact=1 k_ritz=125 k_ritz_pos=0 k_ritz_neg=125 k_exact=125 k_exact_pos=0 k_exact_neg=125 pairs=125 eig_err=1.394e-07 s1_ritz=1.183069e+02 s1_exact=1.183069e+02 ckpt_ms=356.3
   800  6.4848e-04  1.8660e-03  2.7812e-03  2.7812e-03  -3.02017969e+04  -3.00342675e+04     43.88     35.948  125  0.000e+00  0.000e+00
   825  6.4627e-04  1.8228e-03  2.7666e-03  2.7666e-03  -3.02072557e+04  -3.00405733e+04     44.72     37.072  123  0.000e+00  0.000e+00
   850  6.5514e-04  1.7730e-03  2.7035e-03  2.7035e-03  -3.02112091e+04  -3.00482974e+04     45.77     38.205  121  0.000e+00  0.000e+00
   875  6.4327e-04  1.7464e-03  2.6390e-03  2.6390e-03  -3.02139035e+04  -3.00548498e+04     45.15     39.342  119  0.000e+00  0.000e+00
# track it=900 fired=1 fired_exact=1 k_ritz=116 k_ritz_pos=0 k_ritz_neg=116 k_exact=116 k_exact_pos=0 k_exact_neg=116 pairs=116 eig_err=6.788e-08 s1_ritz=1.262106e+02 s1_exact=1.262106e+02 ckpt_ms=355.9
   900  6.4862e-04  1.7171e-03  2.5853e-03  2.5853e-03  -3.02192609e+04  -3.00634094e+04     43.79     40.472  116  0.000e+00  0.000e+00
   925  6.2943e-04  1.6816e-03  2.6798e-03  2.6798e-03  -3.02237518e+04  -3.00621944e+04     45.17     41.602  115  0.000e+00  0.000e+00
   950  6.5706e-04  1.6379e-03  2.4374e-03  2.4374e-03  -3.02266190e+04  -3.00796269e+04     44.87     42.737  114  0.000e+00  0.000e+00
   975  6.4720e-04  1.6016e-03  2.5468e-03  2.5468e-03  -3.02327549e+04  -3.00791489e+04     46.16     43.876  113  0.000e+00  0.000e+00
# gate it=1000 k=350 kw=175 s1=1.337e+02 s_kw/s1=3.815e-02 fired=1 clipped_neg=111 clipped_pos=0 fired_frac_last250=1.000
# track it=1000 fired=1 fired_exact=1 k_ritz=111 k_ritz_pos=0 k_ritz_neg=111 k_exact=111 k_exact_pos=0 k_exact_neg=111 pairs=111 eig_err=6.275e-08 s1_ritz=1.336963e+02 s1_exact=1.336963e+02 ckpt_ms=356.7
# deflate it=1000 alpha=1.877e+01 theta=1.337e+01 clipped_neg=111 clipped_pos=0
  1000  6.2325e-04  1.5768e-03  2.3775e-03  2.3775e-03  -3.02328192e+04  -3.00894037e+04     43.96     45.009  111  0.000e+00  0.000e+00
  1025  6.3131e-04  1.5586e-03  2.4633e-03  2.4633e-03  -3.02380736e+04  -3.00894635e+04     44.97     46.137  109  0.000e+00  0.000e+00
  1050  6.3495e-04  1.5304e-03  2.4062e-03  2.4062e-03  -3.02414592e+04  -3.00962717e+04     47.40     47.270  108  0.000e+00  0.000e+00
  1075  6.2321e-04  1.5054e-03  2.4064e-03  2.4064e-03  -3.02438302e+04  -3.00986200e+04     45.66     48.405  106  0.000e+00  0.000e+00
# track it=1100 fired=1 fired_exact=1 k_ritz=105 k_ritz_pos=0 k_ritz_neg=105 k_exact=105 k_exact_pos=0 k_exact_neg=105 pairs=105 eig_err=6.153e-08 s1_ritz=1.408584e+02 s1_exact=1.408584e+02 ckpt_ms=355.9
  1100  6.4854e-04  1.4859e-03  2.3457e-03  2.3457e-03  -3.02476047e+04  -3.01060336e+04     44.27     49.537  105  0.000e+00  0.000e+00
  1125  6.5072e-04  1.4633e-03  2.3848e-03  2.3848e-03  -3.02508381e+04  -3.01068930e+04     44.82     50.667  103  0.000e+00  0.000e+00
  1150  6.2301e-04  1.4478e-03  2.3428e-03  2.3428e-03  -3.02540799e+04  -3.01126503e+04     46.70     51.801  102  0.000e+00  0.000e+00
  1175  6.4621e-04  1.4223e-03  2.2560e-03  2.2560e-03  -3.02567345e+04  -3.01205212e+04     45.06     52.932  102  0.000e+00  0.000e+00
# track it=1200 fired=1 fired_exact=1 k_ritz=101 k_ritz_pos=0 k_ritz_neg=101 k_exact=101 k_exact_pos=0 k_exact_neg=101 pairs=101 eig_err=4.006e-08 s1_ritz=1.477212e+02 s1_exact=1.477212e+02 ckpt_ms=356.2
  1200  6.3005e-04  1.3867e-03  2.2393e-03  2.2393e-03  -3.02590060e+04  -3.01237889e+04     44.35     54.065  101  0.000e+00  0.000e+00
  1225  6.6150e-04  1.3750e-03  2.1831e-03  2.1831e-03  -3.02601385e+04  -3.01283019e+04     45.74     55.195  99  0.000e+00  0.000e+00
# gate it=1250 k=350 kw=175 s1=1.510e+02 s_kw/s1=3.347e-02 fired=1 clipped_neg=99 clipped_pos=0 fired_frac_last250=1.000
# deflate it=1250 alpha=1.929e+01 theta=1.510e+01 clipped_neg=99 clipped_pos=0
  1250  6.5829e-04  1.3438e-03  2.2183e-03  2.2183e-03  -3.02647209e+04  -3.01307454e+04     45.41     56.331  99  0.000e+00  0.000e+00
  1275  6.5638e-04  1.3487e-03  2.1654e-03  2.1654e-03  -3.02652045e+04  -3.01344157e+04     45.03     57.462  97  0.000e+00  0.000e+00
# track it=1300 fired=1 fired_exact=1 k_ritz=96 k_ritz_pos=0 k_ritz_neg=96 k_exact=96 k_exact_pos=0 k_exact_neg=96 pairs=96 eig_err=4.303e-08 s1_ritz=1.543166e+02 s1_exact=1.543166e+02 ckpt_ms=355.6
  1300  6.4439e-04  1.3325e-03  2.2597e-03  2.2597e-03  -3.02704412e+04  -3.01339407e+04     44.07     58.598  96  0.000e+00  0.000e+00
  1325  6.2802e-04  1.3140e-03  2.1597e-03  2.1597e-03  -3.02719975e+04  -3.01415230e+04     45.79     59.724  94  0.000e+00  0.000e+00
  1350  6.3263e-04  1.2834e-03  2.2062e-03  2.2062e-03  -3.02760172e+04  -3.01427210e+04     45.64     60.860  94  0.000e+00  0.000e+00
  1375  6.5554e-04  1.2821e-03  2.0978e-03  2.0978e-03  -3.02761872e+04  -3.01494240e+04     44.74     61.991  93  0.000e+00  0.000e+00
# track it=1400 fired=1 fired_exact=1 k_ritz=91 k_ritz_pos=0 k_ritz_neg=91 k_exact=91 k_exact_pos=0 k_exact_neg=91 pairs=91 eig_err=3.342e-08 s1_ritz=1.606903e+02 s1_exact=1.606903e+02 ckpt_ms=357.2
  1400  6.2937e-04  1.2631e-03  2.1884e-03  2.1884e-03  -3.02794378e+04  -3.01471972e+04     43.73     63.119  91  0.000e+00  0.000e+00
  1425  6.5447e-04  1.2506e-03  2.0337e-03  2.0337e-03  -3.02803767e+04  -3.01574605e+04     45.21     64.250  90  0.000e+00  0.000e+00
  1450  6.5300e-04  1.2323e-03  2.1491e-03  2.1491e-03  -3.02836624e+04  -3.01537752e+04     44.78     65.382  90  0.000e+00  0.000e+00
  1475  6.4271e-04  1.2159e-03  1.9550e-03  1.9550e-03  -3.02834046e+04  -3.01652256e+04     44.91     66.516  89  0.000e+00  0.000e+00
# gate it=1500 k=350 kw=175 s1=1.668e+02 s_kw/s1=3.008e-02 fired=1 clipped_neg=88 clipped_pos=0 fired_frac_last250=1.000
# track it=1500 fired=1 fired_exact=1 k_ritz=88 k_ritz_pos=0 k_ritz_neg=88 k_exact=88 k_exact_pos=0 k_exact_neg=88 pairs=88 eig_err=2.362e-08 s1_ritz=1.668411e+02 s1_exact=1.668411e+02 ckpt_ms=357.0
# deflate it=1500 alpha=2.365e+01 theta=1.668e+01 clipped_neg=88 clipped_pos=0
  1500  6.2934e-04  1.2026e-03  2.0904e-03  2.0904e-03  -3.02895688e+04  -3.01631967e+04     43.86     67.647  88  0.000e+00  0.000e+00
  1525  6.5463e-04  1.1943e-03  1.9181e-03  1.9181e-03  -3.02856588e+04  -3.01696976e+04     45.67     68.778  88  0.000e+00  0.000e+00
  1550  6.3603e-04  1.1735e-03  2.0488e-03  2.0488e-03  -3.02922507e+04  -3.01683749e+04     45.10     69.908  86  0.000e+00  0.000e+00
  1575  6.0116e-04  1.1727e-03  1.9821e-03  1.9821e-03  -3.02909226e+04  -3.01710771e+04     45.05     71.039  86  0.000e+00  0.000e+00
# track it=1600 fired=1 fired_exact=1 k_ritz=85 k_ritz_pos=0 k_ritz_neg=85 k_exact=85 k_exact_pos=0 k_exact_neg=85 pairs=85 eig_err=2.444e-08 s1_ritz=1.727968e+02 s1_exact=1.727968e+02 ckpt_ms=355.1
  1600  6.3636e-04  1.1655e-03  2.0437e-03  2.0437e-03  -3.02963053e+04  -3.01727242e+04     43.86     72.171  85  0.000e+00  0.000e+00
  1625  6.1766e-04  1.1389e-03  1.9591e-03  1.9591e-03  -3.02956672e+04  -3.01771951e+04     45.23     73.299  84  0.000e+00  0.000e+00
  1650  6.2850e-04  1.1373e-03  1.9304e-03  1.9304e-03  -3.02976175e+04  -3.01808688e+04     45.14     74.434  83  0.000e+00  0.000e+00
  1675  6.1312e-04  1.1276e-03  2.0028e-03  2.0028e-03  -3.02981419e+04  -3.01770202e+04     44.57     75.565  83  0.000e+00  0.000e+00
# track it=1700 fired=1 fired_exact=1 k_ritz=82 k_ritz_pos=0 k_ritz_neg=82 k_exact=82 k_exact_pos=0 k_exact_neg=82 pairs=82 eig_err=2.022e-08 s1_ritz=1.785938e+02 s1_exact=1.785938e+02 ckpt_ms=355.5
  1700  6.4353e-04  1.1040e-03  1.9656e-03  1.9656e-03  -3.03039328e+04  -3.01850346e+04     43.79     76.699  82  0.000e+00  0.000e+00
  1725  6.4584e-04  1.0866e-03  1.8742e-03  1.8742e-03  -3.03010450e+04  -3.01876741e+04     44.94     77.829  82  0.000e+00  0.000e+00
# gate it=1750 k=350 kw=175 s1=1.814e+02 s_kw/s1=2.751e-02 fired=1 clipped_neg=82 clipped_pos=0 fired_frac_last250=1.000
# deflate it=1750 alpha=2.341e+01 theta=1.814e+01 clipped_neg=82 clipped_pos=0
  1750  6.5777e-04  1.0914e-03  1.9377e-03  1.9377e-03  -3.03043768e+04  -3.01871629e+04     45.20     78.961  82  0.000e+00  0.000e+00
  1775  6.3331e-04  1.0670e-03  1.8866e-03  1.8866e-03  -3.03069757e+04  -3.01928372e+04     44.82     80.096  81  0.000e+00  0.000e+00
