# min-bisection SDP  problem=data/G60_mb.sdp n=7000 m=7001 F0_nnz=24105  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=1.213724e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
   475  3.4422e-01  5.6199e-03  3.0685e-02  3.4422e-01  +2.17863005e+03  +2.31659539e+03     39.91     18.865  0  0.000e+00  0.000e+00
   500  3.3988e-01  5.5038e-03  2.9928e-02  3.3988e-01  +2.17159582e+03  +2.30562015e+03     38.13     19.934  0  0.000e+00  0.000e+00
   525  3.3633e-01  5.4010e-03  2.9859e-02  3.3633e-01  +2.16519539e+03  +2.29850859e+03     39.71     20.924  0  0.000e+00  0.000e+00
   550  3.5057e-01  5.3362e-03  2.8634e-02  3.5057e-01  +2.15920439e+03  +2.28653173e+03     41.04     21.911  0  0.000e+00  0.000e+00
   575  3.3481e-01  5.2668e-03  2.8345e-02  3.3481e-01  +2.15363990e+03  +2.27932042e+03     38.43     22.894  0  0.000e+00  0.000e+00
   600  3.2881e-01  5.1929e-03  2.8283e-02  3.2881e-01  +2.14834105e+03  +2.27342823e+03     40.27     23.889  0  0.000e+00  0.000e+00
   625  3.2254e-01  5.1350e-03  2.7780e-02  3.2254e-01  +2.14326575e+03  +2.26577559e+03     39.19     24.879  0  0.000e+00  0.000e+00
   650  2.9232e-01  5.0368e-03  2.6834e-02  2.9232e-01  +2.13850056e+03  +2.25646204e+03     39.59     25.868  0  0.000e+00  0.000e+00
   675  2.7004e-01  5.0015e-03  2.6888e-02  2.7004e-01  +2.13400424e+03  +2.25196155e+03     39.03     26.859  0  0.000e+00  0.000e+00
   700  2.6024e-01  4.9412e-03  2.6467e-02  2.6024e-01  +2.12981302e+03  +2.24564494e+03     38.44     27.849  0  0.000e+00  0.000e+00
   725  2.5436e-01  4.8874e-03  2.5900e-02  2.5436e-01  +2.12575077e+03  +2.23882072e+03     40.13     28.837  0  0.000e+00  0.000e+00
   750  2.5142e-01  4.8702e-03  2.6028e-02  2.5142e-01  +2.12187326e+03  +2.23530683e+03     38.47     29.823  0  0.000e+00  0.000e+00
   775  2.4047e-01  4.7692e-03  2.5017e-02  2.4047e-01  +2.11814471e+03  +2.22686964e+03     38.70     30.807  0  0.000e+00  0.000e+00
   800  2.4673e-01  4.7314e-03  2.4577e-02  2.4673e-01  +2.11476326e+03  +2.22135677e+03     38.73     31.801  0  0.000e+00  0.000e+00
   825  2.3638e-01  4.7332e-03  2.4938e-02  2.3638e-01  +2.11123682e+03  +2.21925733e+03     40.02     32.790  0  0.000e+00  0.000e+00
   850  2.3024e-01  4.7032e-03  2.3815e-02  2.3024e-01  +2.10815639e+03  +2.21104335e+03     41.40     33.780  0  0.000e+00  0.000e+00
   875  2.5127e-01  4.6821e-03  2.3890e-02  2.5127e-01  +2.10516425e+03  +2.20823733e+03     39.12     34.765  0  0.000e+00  0.000e+00
   900  2.5976e-01  4.6483e-03  2.3585e-02  2.5976e-01  +2.10210211e+03  +2.20367964e+03     39.11     35.753  0  0.000e+00  0.000e+00
