# max-cut SDP  problem=data/G60mc.sdp n=7000 m=7000 F0_nnz=24105  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.427447e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
     1  1.3050e-01  5.0175e-01  4.5023e-01  5.0175e-01  -2.67697783e+04  -1.01480000e+04    103.62      0.104  0  0.000e+00  0.000e+00
     2  3.8629e-01  2.2910e-01  3.0725e-01  3.8629e-01  -3.53418703e+04  -1.87284636e+04     36.86      0.140  0  0.000e+00  0.000e+00
     3  3.8110e-01  1.4230e-01  2.2623e-01  3.8110e-01  -3.65192877e+04  -2.30441743e+04     37.17      0.178  0  0.000e+00  0.000e+00
     4  2.8902e-01  1.1558e-01  1.5316e-01  2.8902e-01  -3.48492436e+04  -2.55919927e+04     37.09      0.215  0  0.000e+00  0.000e+00
     5  1.8671e-01  1.0037e-01  9.4576e-02  1.8671e-01  -3.25294803e+04  -2.69080479e+04     37.75      0.252  0  0.000e+00  0.000e+00
     6  1.0361e-01  8.4357e-02  5.2453e-02  1.0361e-01  -3.04897283e+04  -2.74505543e+04     37.66      0.290  0  0.000e+00  0.000e+00
     7  4.7123e-02  6.8752e-02  2.6233e-02  6.8752e-02  -2.90338045e+04  -2.75494103e+04     37.79      0.328  0  0.000e+00  0.000e+00
     8  1.7326e-02  5.6125e-02  1.3374e-02  5.6125e-02  -2.81753279e+04  -2.74316290e+04     37.99      0.366  0  0.000e+00  0.000e+00
     9  1.3405e-02  4.7583e-02  1.0341e-02  4.7583e-02  -2.78141603e+04  -2.72447620e+04     38.58      0.405  0  0.000e+00  0.000e+00
    10  1.3300e-02  4.2696e-02  1.3344e-02  4.2696e-02  -2.78131344e+04  -2.70806211e+04     38.13      0.443  0  0.000e+00  0.000e+00
    11  8.5079e-03  3.9997e-02  1.9043e-02  3.9997e-02  -2.80355817e+04  -2.69877620e+04     39.04      0.482  0  0.000e+00  0.000e+00
    12  5.5139e-03  3.8121e-02  2.4906e-02  3.8121e-02  -2.83618388e+04  -2.69833816e+04     37.75      0.519  0  0.000e+00  0.000e+00
    13  1.1828e-02  3.6355e-02  2.9347e-02  3.6355e-02  -2.86980905e+04  -2.70616805e+04     37.69      0.557  0  0.000e+00  0.000e+00
    14  1.8451e-02  3.4510e-02  3.1698e-02  3.4510e-02  -2.89823635e+04  -2.72014279e+04     37.81      0.595  0  0.000e+00  0.000e+00
    15  2.2701e-02  3.2703e-02  3.1937e-02  3.2703e-02  -2.91827757e+04  -2.73764147e+04     37.74      0.633  0  0.000e+00  0.000e+00
    16  2.4156e-02  3.1090e-02  3.0436e-02  3.1090e-02  -2.92914274e+04  -2.75610325e+04     37.85      0.671  0  0.000e+00  0.000e+00
    17  2.3148e-02  2.9729e-02  2.7780e-02  2.9729e-02  -2.93186964e+04  -2.77337617e+04     38.46      0.709  0  0.000e+00  0.000e+00
    18  2.0375e-02  2.8517e-02  2.4585e-02  2.8517e-02  -2.92859978e+04  -2.78805122e+04     38.15      0.747  0  0.000e+00  0.000e+00
    19  1.6643e-02  2.7429e-02  2.1379e-02  2.7429e-02  -2.92177687e+04  -2.79946168e+04     37.99      0.785  0  0.000e+00  0.000e+00
    20  1.2665e-02  2.6393e-02  1.8546e-02  2.6393e-02  -2.91365412e+04  -2.80754589e+04     38.26      0.823  0  0.000e+00  0.000e+00
    25  2.7400e-03  2.2059e-02  1.4018e-02  2.2059e-02  -2.89809036e+04  -2.81796117e+04     40.48      1.032  0  0.000e+00  0.000e+00
