# max-cut SDP  problem=data/G59mc.sdp n=5000 m=5000 F0_nnz=33858  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=1.726412e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
     1  3.8332e-01  7.4763e-01  9.9994e-01  9.9994e-01  -1.04800629e+04  +4.90400000e+03    111.81      0.112  0  0.000e+00  0.000e+00
     2  6.4529e-01  3.5434e-01  6.8587e-01  6.8587e-01  -1.54061252e+04  -2.87027767e+03     17.19      0.129  0  0.000e+00  0.000e+00
     3  6.0718e-01  2.2947e-01  4.0797e-01  6.0718e-01  -1.68643969e+04  -7.09091156e+03     17.09      0.146  0  0.000e+00  0.000e+00
     4  4.7686e-01  1.8895e-01  2.6595e-01  4.7686e-01  -1.66136005e+04  -9.63298665e+03     17.08      0.163  0  0.000e+00  0.000e+00
     5  3.4012e-01  1.6436e-01  1.7365e-01  3.4012e-01  -1.57203518e+04  -1.10682711e+04     17.18      0.180  0  0.000e+00  0.000e+00
     6  2.2775e-01  1.4047e-01  1.1089e-01  2.2775e-01  -1.47323069e+04  -1.17911353e+04     17.50      0.198  0  0.000e+00  0.000e+00
     7  1.4900e-01  1.1637e-01  7.0866e-02  1.4900e-01  -1.38933892e+04  -1.20544924e+04     17.37      0.215  0  0.000e+00  0.000e+00
     8  1.0313e-01  9.4707e-02  4.8899e-02  1.0313e-01  -1.32828660e+04  -1.20443361e+04     17.35      0.233  0  0.000e+00  0.000e+00
     9  8.1827e-02  7.7384e-02  4.0714e-02  8.1827e-02  -1.29017607e+04  -1.18922543e+04     17.44      0.250  0  0.000e+00  0.000e+00
    10  7.1584e-02  6.5308e-02  4.2039e-02  7.1584e-02  -1.27189195e+04  -1.16926436e+04     17.60      0.268  0  0.000e+00  0.000e+00
    11  6.2774e-02  5.7967e-02  4.8797e-02  6.2774e-02  -1.26890769e+04  -1.15082648e+04     17.67      0.285  0  0.000e+00  0.000e+00
    12  5.3292e-02  5.3933e-02  5.7502e-02  5.7502e-02  -1.27660781e+04  -1.13777056e+04     17.54      0.303  0  0.000e+00  0.000e+00
    13  4.4514e-02  5.1422e-02  6.5510e-02  6.5510e-02  -1.29070828e+04  -1.13198998e+04     17.41      0.320  0  0.000e+00  0.000e+00
    14  3.8806e-02  4.9299e-02  7.1124e-02  7.1124e-02  -1.30733063e+04  -1.13370753e+04     17.50      0.338  0  0.000e+00  0.000e+00
    15  3.7344e-02  4.7053e-02  7.3722e-02  7.3722e-02  -1.32376829e+04  -1.14198119e+04     17.45      0.355  0  0.000e+00  0.000e+00
    16  3.8349e-02  4.4662e-02  7.3312e-02  7.3312e-02  -1.33795094e+04  -1.15516693e+04     17.73      0.373  0  0.000e+00  0.000e+00
    17  4.0035e-02  4.2389e-02  7.0331e-02  7.0331e-02  -1.34866427e+04  -1.17141770e+04     17.52      0.390  0  0.000e+00  0.000e+00
    18  4.0288e-02  4.0368e-02  6.5591e-02  6.5591e-02  -1.35564550e+04  -1.18874974e+04     17.35      0.408  0  0.000e+00  0.000e+00
    19  3.8889e-02  3.8703e-02  5.9849e-02  5.9849e-02  -1.35901076e+04  -1.20551973e+04     17.30      0.425  0  0.000e+00  0.000e+00
    20  3.6044e-02  3.7296e-02  5.3865e-02  5.3865e-02  -1.35948941e+04  -1.22051208e+04     17.62      0.443  0  0.000e+00  0.000e+00
