# max-cut SDP  problem=data/G55mc.sdp n=5000 m=5000 F0_nnz=17467  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.094541e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
   475  1.6262e-03  3.3430e-03  3.4014e-03  3.4014e-03  -2.18579384e+04  -2.17097453e+04     17.35      9.028  0  0.000e+00  0.000e+00
   500  1.6665e-03  3.3195e-03  3.3916e-03  3.3916e-03  -2.18629682e+04  -2.17151643e+04     17.06      9.468  0  0.000e+00  0.000e+00
   525  1.6983e-03  3.2548e-03  3.3004e-03  3.3004e-03  -2.18695602e+04  -2.17256757e+04     17.38      9.909  0  0.000e+00  0.000e+00
   550  1.6613e-03  3.2142e-03  3.1484e-03  3.2142e-03  -2.18738719e+04  -2.17365641e+04     17.44     10.347  0  0.000e+00  0.000e+00
   575  1.7261e-03  3.1878e-03  3.1403e-03  3.1878e-03  -2.18839930e+04  -2.17469745e+04     18.39     10.794  0  0.000e+00  0.000e+00
   600  1.7291e-03  3.1471e-03  3.0970e-03  3.1471e-03  -2.18869003e+04  -2.17517498e+04     17.38     11.232  0  0.000e+00  0.000e+00
   625  1.7152e-03  3.0952e-03  3.0350e-03  3.0952e-03  -2.18932052e+04  -2.17607119e+04     17.66     11.667  0  0.000e+00  0.000e+00
   650  1.7497e-03  3.0822e-03  2.9664e-03  3.0822e-03  -2.18973004e+04  -2.17677691e+04     18.24     12.110  0  0.000e+00  0.000e+00
   675  1.7298e-03  3.0443e-03  2.8795e-03  3.0443e-03  -2.19024606e+04  -2.17766824e+04     17.42     12.555  0  0.000e+00  0.000e+00
   700  1.7119e-03  3.0597e-03  2.8247e-03  3.0597e-03  -2.19058271e+04  -2.17824178e+04     17.39     12.989  0  0.000e+00  0.000e+00
   725  1.7237e-03  3.0681e-03  2.8208e-03  3.0681e-03  -2.19116526e+04  -2.17883810e+04     18.73     13.430  0  0.000e+00  0.000e+00
   750  1.7301e-03  3.0135e-03  2.8470e-03  3.0135e-03  -2.19163146e+04  -2.17918765e+04     17.27     13.878  0  0.000e+00  0.000e+00
   775  1.7449e-03  2.9759e-03  2.7472e-03  2.9759e-03  -2.19178862e+04  -2.17977894e+04     17.36     14.323  0  0.000e+00  0.000e+00
   800  1.7500e-03  2.9498e-03  2.7540e-03  2.9498e-03  -2.19239264e+04  -2.18034965e+04     17.74     14.767  0  0.000e+00  0.000e+00
   825  1.7354e-03  2.9288e-03  2.6332e-03  2.9288e-03  -2.19275215e+04  -2.18123438e+04     17.41     15.211  0  0.000e+00  0.000e+00
   850  1.7274e-03  2.8841e-03  2.5511e-03  2.8841e-03  -2.19275685e+04  -2.18159703e+04     17.11     15.650  0  0.000e+00  0.000e+00
   875  1.6810e-03  2.8550e-03  2.4393e-03  2.8550e-03  -2.19327166e+04  -2.18259739e+04     17.12     16.085  0  0.000e+00  0.000e+00
   900  1.6627e-03  2.8032e-03  2.5577e-03  2.8032e-03  -2.19364176e+04  -2.18244894e+04     17.10     16.529  0  0.000e+00  0.000e+00
   925  1.6449e-03  2.7501e-03  2.4384e-03  2.7501e-03  -2.19373738e+04  -2.18306456e+04     17.15     16.963  0  0.000e+00  0.000e+00
   950  1.6779e-03  2.7336e-03  2.3658e-03  2.7336e-03  -2.19406518e+04  -2.18370798e+04     17.57     17.401  0  0.000e+00  0.000e+00
   975  1.6308e-03  2.7412e-03  2.4748e-03  2.7412e-03  -2.19452794e+04  -2.18369266e+04     17.56     17.850  0  0.000e+00  0.000e+00
  1000  1.6560e-03  2.7546e-03  2.3824e-03  2.7546e-03  -2.19459991e+04  -2.18416752e+04     17.43     18.288  0  0.000e+00  0.000e+00
  1025  1.7123e-03  2.7606e-03  2.3115e-03  2.7606e-03  -2.19488805e+04  -2.18476445e+04     18.17     18.732  0  0.000e+00  0.000e+00
  1050  1.6986e-03  2.7424e-03  2.3698e-03  2.7424e-03  -2.19518457e+04  -2.18480470e+04     17.30     19.178  0  0.000e+00  0.000e+00
  1075  1.6944e-03  2.7234e-03  2.1968e-03  2.7234e-03  -2.19520214e+04  -2.18557826e+04     17.34     19.615  0  0.000e+00  0.000e+00
  1100  1.6847e-03  2.6882e-03  2.3853e-03  2.6882e-03  -2.19591050e+04  -2.18545955e+04     17.64     20.062  0  0.000e+00  0.000e+00
  1125  1.6616e-03  2.6941e-03  2.1677e-03  2.6941e-03  -2.19564568e+04  -2.18614726e+04     17.60     20.505  0  0.000e+00  0.000e+00
  1150  1.6130e-03  2.6583e-03  2.2671e-03  2.6583e-03  -2.19620978e+04  -2.18627416e+04     18.79     20.947  0  0.000e+00  0.000e+00
  1175  1.6174e-03  2.6800e-03  2.0744e-03  2.6800e-03  -2.19597426e+04  -2.18688236e+04     17.28     21.388  0  0.000e+00  0.000e+00
  1200  1.6999e-03  2.6967e-03  2.2477e-03  2.6967e-03  -2.19675144e+04  -2.18689789e+04     17.35     21.826  0  0.000e+00  0.000e+00
  1225  1.7490e-03  2.7388e-03  2.0022e-03  2.7388e-03  -2.19629321e+04  -2.18751560e+04     17.51     22.275  0  0.000e+00  0.000e+00
  1250  1.7522e-03  2.7672e-03  2.1207e-03  2.7672e-03  -2.19700293e+04  -2.18770391e+04     17.61     22.720  0  0.000e+00  0.000e+00
  1275  1.7194e-03  2.7260e-03  1.9814e-03  2.7260e-03  -2.19686863e+04  -2.18818006e+04     18.21     23.161  0  0.000e+00  0.000e+00
  1300  1.7080e-03  2.7265e-03  2.0980e-03  2.7265e-03  -2.19726000e+04  -2.18805957e+04     17.15     23.608  0  0.000e+00  0.000e+00
  1325  1.6949e-03  2.6833e-03  1.9460e-03  2.6833e-03  -2.19737653e+04  -2.18884064e+04     17.74     24.051  0  0.000e+00  0.000e+00
  1350  1.7064e-03  2.6783e-03  1.9849e-03  2.6783e-03  -2.19747988e+04  -2.18877321e+04     17.72     24.497  0  0.000e+00  0.000e+00
  1375  1.7268e-03  2.6628e-03  1.9731e-03  2.6628e-03  -2.19782152e+04  -2.18916532e+04     17.09     24.941  0  0.000e+00  0.000e+00
  1400  1.7020e-03  2.7180e-03  1.8977e-03  2.7180e-03  -2.19785650e+04  -2.18953020e+04     17.53     25.376  0  0.000e+00  0.000e+00
  1425  1.7030e-03  2.6770e-03  1.8718e-03  2.6770e-03  -2.19812916e+04  -2.18991524e+04     17.06     25.820  0  0.000e+00  0.000e+00
  1450  1.7249e-03  2.6872e-03  1.7302e-03  2.6872e-03  -2.19808569e+04  -2.19049225e+04     17.24     26.261  0  0.000e+00  0.000e+00
  1475  1.7223e-03  2.6930e-03  1.9064e-03  2.6930e-03  -2.19821289e+04  -2.18984739e+04     17.75     26.704  0  0.000e+00  0.000e+00
  1500  1.6528e-03  2.6636e-03  1.8031e-03  2.6636e-03  -2.19844906e+04  -2.19053497e+04     18.27     27.148  0  0.000e+00  0.000e+00
