# max-cut SDP  problem=data/G60mc.sdp n=7000 m=7000 F0_nnz=24105  mode=deflated16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.427447e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
   450  1.1224e-03  2.7894e-03  3.5988e-03  3.5988e-03  -3.00985330e+04  -2.98826684e+04     46.45     19.810  173  0.000e+00  0.000e+00
   475  7.4889e-04  2.6898e-03  3.5489e-03  3.5489e-03  -3.01092078e+04  -2.98962520e+04     46.26     20.955  168  0.000e+00  0.000e+00
# gate it=500 k=350 kw=175 s1=9.134e+01 s_kw/s1=6.431e-02 fired=1 clipped_neg=163 clipped_pos=0 fired_frac_last250=0.232
# deflate it=500 alpha=1.322e+01 theta=9.134e+00 clipped_neg=163 clipped_pos=0
   500  6.5622e-04  2.5875e-03  3.5016e-03  3.5016e-03  -3.01207405e+04  -2.99105327e+04     45.49     22.094  163  0.000e+00  0.000e+00
   525  6.3362e-04  2.4965e-03  3.3959e-03  3.3959e-03  -3.01292882e+04  -2.99253456e+04     46.24     23.239  159  0.000e+00  0.000e+00
   550  6.4793e-04  2.4013e-03  3.3336e-03  3.3336e-03  -3.01383490e+04  -2.99380736e+04     45.57     24.378  156  0.000e+00  0.000e+00
   575  6.2448e-04  2.3261e-03  3.1770e-03  3.1770e-03  -3.01449520e+04  -2.99540154e+04     45.32     25.515  151  0.000e+00  0.000e+00
   600  6.4807e-04  2.2611e-03  3.1070e-03  3.1070e-03  -3.01525505e+04  -2.99657607e+04     45.77     26.658  148  0.000e+00  0.000e+00
   625  6.3245e-04  2.2083e-03  3.1740e-03  3.1740e-03  -3.01609805e+04  -2.99701214e+04     45.20     27.796  144  0.000e+00  0.000e+00
   650  6.3032e-04  2.1589e-03  3.0207e-03  3.0207e-03  -3.01660371e+04  -2.99843398e+04     45.26     28.938  141  0.000e+00  0.000e+00
   675  6.2980e-04  2.0840e-03  3.0290e-03  3.0290e-03  -3.01746936e+04  -2.99924472e+04     45.24     30.076  139  0.000e+00  0.000e+00
   700  6.2680e-04  2.0478e-03  2.9355e-03  2.9355e-03  -3.01779328e+04  -3.00012714e+04     45.62     31.214  135  0.000e+00  0.000e+00
   725  6.3215e-04  2.0041e-03  2.8890e-03  2.8890e-03  -3.01855695e+04  -3.00116582e+04     45.40     32.353  132  0.000e+00  0.000e+00
# gate it=750 k=350 kw=175 s1=1.142e+02 s_kw/s1=4.533e-02 fired=1 clipped_neg=129 clipped_pos=0 fired_frac_last250=1.000
# deflate it=750 alpha=1.607e+01 theta=1.142e+01 clipped_neg=129 clipped_pos=0
   750  6.4910e-04  1.9486e-03  2.9393e-03  2.9393e-03  -3.01930630e+04  -3.00160844e+04     46.62     33.493  129  0.000e+00  0.000e+00
   775  6.3883e-04  1.8948e-03  2.7949e-03  2.7949e-03  -3.01938241e+04  -3.00255148e+04     45.94     34.633  127  0.000e+00  0.000e+00
   800  6.4848e-04  1.8660e-03  2.7812e-03  2.7812e-03  -3.02017969e+04  -3.00342675e+04     45.40     35.771  125  0.000e+00  0.000e+00
   825  6.4627e-04  1.8228e-03  2.7666e-03  2.7666e-03  -3.02072557e+04  -3.00405733e+04     45.60     36.914  123  0.000e+00  0.000e+00
